Index,symbol,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue,Company
2003,TXN,29.38,1736231884,51010492751.92,1818000000.0,832000000.0,50024492751.92,TXN
2002,TXN,10.1548531182,1720000000,17466347363.304,949000000.0,1255000000.0,17772347363.304,TXN
2001,TXN,18.8727148001,1675000000,31611797290.1675,431000000.0,1249000000.0,32429797290.1675,TXN
2000,TXN,31.8570548595,1717977528,54729704356.884186,745000000.0,1364000000.0,55348704356.884186,TXN
1999,TXN,32.4371051301,1606857143,52121794076.54313,662000000.0,1410000000.0,52869794076.54313,TXN
1998,TXN,14.3207511526,1565384615,22417483529.52356,540000000.0,1294000000.0,23171483529.52356,TXN
1997,TXN,7.500056361,1539445629,11545928982.195095,1015000000.0,1357000000.0,11887928982.195095,TXN
1996,TXN,5.2743513862,1527272727,8055373024.757905,964000000.0,2011000000.0,9102373024.757904,TXN
1995,TXN,4.209159247300001,1546003552,6507375147.259446,1364000000.0,831000000.0,5974375147.259446,TXN
1994,TXN,3.0277306598,1520770289,4604482830.518207,760000000.0,820000000.0,4664482830.518207,TXN
1993,TXN,2.5348586933,1375200000,3485937675.0261602,,,,TXN
1992,TXN,1.8409293934,1312500000,2416219828.8375,,,,TXN
1991,TXN,1.1919317454,1302941176,1553016950.0632086,,,,TXN
1990,TXN,1.4403689537,1250000000,1800461192.125,,,,TXN
1989,TXN,1.3318459398,1331578947,1773458014.0851095,,,,TXN
1988,TXN,1.4937547289,1291923077,1929816205.6437886,,,,TXN
1987,TXN,1.9985308816999998,1272105263,2542341652.878601,,,,TXN
1986,TXN,1.4037900444,946666667,1328921242.4999301,,,,TXN
1985,TXN,1.2537022745,1187000000,1488144599.8314998,,,,TXN
2022,QCOM,119.74,1123000000,134468020000.0,2773000000.0,15482000000.0,147177020000.0,QCOM
2021,QCOM,133.48,1131000000,150965880000.0,7116000000.0,15745000000.0,159594880000.0,QCOM
2020,QCOM,118.47,1135000000,134463450000.0,6707000000.0,15726000000.0,143482450000.0,QCOM
2019,QCOM,76.28,1210000000,92298800000.0,11839000000.0,15933000000.0,96392800000.0,QCOM
2018,QCOM,72.6,1463000000,106213799999.99997,11777000000.0,16370000000.0,110806799999.99997,QCOM
2017,QCOM,51.62,1477000000,76242740000.0,35029000000.0,21893000000.0,63106740000.0,QCOM
2016,QCOM,62.31,1484000000,92468040000.0,5946000000.0,11757000000.0,98279040000.0,QCOM
2015,QCOM,52.54,1618000000,85009720000.0,7560000000.0,10969000000.0,88418720000.0,QCOM
2014,QCOM,74.82,1683000000,125922059999.99997,7907000000.0,0.0,118015059999.99997,QCOM
2013,QCOM,67.32,1715000000,115453799999.99997,6142000000.0,17000000.0,109328799999.99997,QCOM
2012,QCOM,61.91,1700000000,105247000000.0,3807000000.0,0.0,101440000000.0,QCOM
2011,QCOM,50.58,1658000000,83861640000.0,5462000000.0,994000000.0,79393640000.0,QCOM
2010,QCOM,44.59,1643000000,73261370000.0,3547000000.0,1086000000.0,70800370000.0,QCOM
2009,QCOM,45.97,1656000000,76126320000.0,2717000000.0,170000000.0,73579320000.0,QCOM
2008,QCOM,39.88,1632000000,65084160000.000015,1840000000.0,173000000.0,63417160000.000015,QCOM
2007,QCOM,42.09,1660000000,69869400000.0,2411000000.0,0.0,67458400000.0,QCOM
2006,QCOM,38.67,1659000000,64153530000.0,1607000000.0,0.0,62546530000.0,QCOM
2005,QCOM,44.4,1638000000,72727200000.0,2070000000.0,0.0,70657200000.0,QCOM
2004,QCOM,39.04,1616000000,63088640000.0,1214000000.0,0.0,61874640000.0,QCOM
2003,QCOM,13.8538576988,1579172000,21877624169.929398,2045094000.0,225927000.0,20058457169.929398,QCOM
2002,QCOM,9.1394690678,1541774000,14090995782.53828,,,,QCOM
2001,QCOM,14.8243379521,1511938000,22413479874.62217,1388602000.0,0.0,21024877874.62217,QCOM
2000,QCOM,23.576653551,1434410000,33818587620.089912,716871000.0,0.0,33101716620.089912,QCOM
1999,QCOM,15.651588953900001,1189424000,18616375539.903557,660016000.0,115894000.0,18072253539.903557,QCOM
1998,QCOM,1.9829206513,1107248000,2195584925.3106217,175846000.0,157921000.0,2177659925.3106217,QCOM
1997,QCOM,2.6368625681999998,1158880000,3055807293.0356164,248837000.0,120967000.0,2927937293.0356164,QCOM
1996,QCOM,1.7579083788,1123424000,1974876462.5450113,110100000.0,93800000.0,1958576462.5450113,QCOM
1995,QCOM,1.8977137981,862857143,1637455906.0602448,500600000.0,34500000.0,1171355906.0602448,QCOM
1994,QCOM,1.0468861428,760000000,795633468.528,,,,QCOM
1993,QCOM,1.71137551,806666667,1380509578.6371253,,,,QCOM
1992,QCOM,0.3722629508,700000000,260584065.56,,,,QCOM
1991,QCOM,0.5625,650640000,365985000.0,,,,QCOM
1990,QCOM,0.5625,488571429,274821428.8125,,,,QCOM
2022,LRCX,449.79,139899000,62925171210.0,3522001000.0,5000995000.0,64404165210.0,LRCX
2021,LRCX,646.96,143609000,92909278640.0,4418263000.0,4995061000.0,93486076640.0,LRCX
2020,LRCX,308.46,144814000,44669326440.0,4915172000.0,5810725000.0,45564879440.0,LRCX
2019,LRCX,191.34,152478000,29175140520.0,3658219000.0,4489899000.0,30006820520.0,LRCX
2018,LRCX,171.01,161643000,27642569430.0,4512257000.0,2416592000.0,25546904430.0,LRCX
2017,LRCX,148.99,162222000,24169455780.0,2377534000.0,2693413000.0,24485334780.0,LRCX
2016,LRCX,79.96,158919000,12707163239.999998,5039322000.0,4333075000.0,12000916239.999998,LRCX
2015,LRCX,80.2,159629000,12802245800.0,1501539000.0,2361032000.0,13661738800.0,LRCX
2014,LRCX,67.58,164741000,11133196780.0,1452677000.0,1335469000.0,11015988780.0,LRCX
2013,LRCX,44.21,168932000,7468483720.0,1162473000.0,1303911000.0,7609921720.0,LRCX
2012,LRCX,36.44,124176000,4524973440.0,1564752000.0,1272922000.0,4233143440.0,LRCX
2011,LRCX,43.33,123529000,5352511570.0,1492132000.0,743270000.0,4603649570.0,LRCX
2010,LRCX,40.79,126933000,5177597070.0,545767000.0,22612000.0,4654442070.0,LRCX
2009,LRCX,25.44,125595000,3195136800.0,374167000.0,46234000.0,2867203800.0,LRCX
2008,LRCX,36.15,124647000,4505989050.0,732537000.0,306330000.0,4079782050.0,LRCX
2007,LRCX,52.4,138714000,7268613600.0,573967000.0,250000000.0,6944646600.0,LRCX
2006,LRCX,43.84,138581000,6075391040.0,910815000.0,350000000.0,5514576040.0,LRCX
2005,LRCX,28.4,137727000,3911446800.0,482250000.0,2786000.0,3431982800.0,LRCX
2004,LRCX,25.51,131776000,3361605760.0,163403000.0,12054000.0,3210256760.0,LRCX
2003,LRCX,16.0307933025,126300000,2024689194.10575,167343000.0,337220000.0,2194566194.10575,LRCX
2002,LRCX,14.8017072881,126356000,1870284526.095164,172431000.0,674982000.0,2372835526.095164,LRCX
2001,LRCX,25.0382379512,123856000,3101135999.683827,222000000.0,669000000.0,3548135999.6838274,LRCX
2000,LRCX,35.336222915,120949000,4273880825.346335,70000000.0,329000000.0,4532880825.346334,LRCX
1999,LRCX,13.6633395271,115476000,1577787795.2313993,37965000.0,347066000.0,1886888795.2313995,LRCX
1998,LRCX,5.5981941562,114171000,639151425.0075103,13509000.0,351538000.0,977180425.0075102,LRCX
1997,LRCX,10.8657056467,91800000,997471778.36706,125725000.0,101547000.0,973293778.36706,LRCX
1996,LRCX,7.5354678266,86100000,648803779.87026,62879000.0,90822000.0,676746779.87026,LRCX
1995,LRCX,18.728929743800002,81900000,1533899346.0172198,43675000.0,103500000.0,1593724346.0172198,LRCX
1994,LRCX,8.1939067629,77142857,632101377.6817275,,,,LRCX
1993,LRCX,7.7315363098,72692308,562023218.745165,,,,LRCX
1992,LRCX,2.3177050558000003,61875000,143408000.32762498,,,,LRCX
1991,LRCX,1.7070639089,55454545,94664452.35397094,,,,LRCX
1990,LRCX,1.1939692712,51764706,61805468.29670227,,,,LRCX
1989,LRCX,1.7222220000000001,48947368,84298234.011696,,,,LRCX
1988,LRCX,1.833333,46000000,84333318.0,,,,LRCX
1987,LRCX,1.888889,33750000,63750003.75,,,,LRCX
1986,LRCX,1.916667,34000000,65166678.0,,,,LRCX
2022,MU,57.31,1112000000,63728720000.0,8262000000.0,7516000000.0,62982720000.0,MU
2021,MU,73.99,1120000000,82868800000.0,7763000000.0,7280000000.0,82385800000.0,MU
2020,MU,46.33,1110000000,51426300000.0,7624000000.0,7176000000.0,50978300000.0,MU
2019,MU,44.67,1114000000,49762380000.0,7152000000.0,5851000000.0,48461380000.0,MU
2018,MU,52.76,1152000000,60779520000.0,6506000000.0,4639000000.0,58912520000.0,MU
2017,MU,31.97,1089000000,34815330000.0,5109000000.0,11155000000.0,40861330000.0,MU
2016,MU,16.64,1036000000,17239040000.0,4140000000.0,9910000000.0,23009040000.0,MU
2015,MU,16.59,1070000000,17751300000.0,2287000000.0,7390000000.0,22854300000.0,MU
2014,MU,32.81,1060000000,34778600000.0,4150000000.0,6650000000.0,37278600000.0,MU
2013,MU,13.57,1021700000,13864469000.0,2880000000.0,6037000000.0,17021469000.0,MU
2012,MU,6.18,991200000,6125616000.0,2459000000.0,3262000000.0,6928616000.0,MU
2011,MU,5.74,988000000,5671120000.0,2160000000.0,2001000000.0,5512120000.0,MU
2010,MU,6.83,887500000,6061625000.0,2913000000.0,2360000000.0,5508625000.0,MU
2009,MU,7.17,800700000,5741019000.0,1485000000.0,3098000000.0,7354019000.0,MU
2008,MU,4.24,772500000,3275400000.0,1243000000.0,2726000000.0,4758400000.0,MU
2007,MU,11.45,769100000,8806195000.0,2192000000.0,2410000000.0,9024195000.0,MU
2006,MU,17.28,692000000,11957760000.0,1431000000.0,571000000.0,11097760000.0,MU
2005,MU,11.62,647700000,7526273999.999998,524500000.0,1167200000.0,8168973999.999998,MU
2004,MU,11.65,641500000,7473475000.0,486100000.0,1098500000.0,8085875000.0,MU
2003,MU,14.0449003986,607500000,8532276992.1495,570300000.0,1086000000.0,9047976992.1495,MU
2002,MU,17.0736104211,601500000,10269776668.29165,398000000.0,454000000.0,10325776668.29165,MU
2001,MU,36.3544180155,592400000,21536357232.3822,469000000.0,531000000.0,21598357232.3822,MU
2000,MU,80.8051915815,550900000,44515580042.24835,701700000.0,981600000.0,44795480042.24835,MU
1999,MU,37.2402662084,521400000,19417074801.05976,295000000.0,1639000000.0,20761074801.05976,MU
1998,MU,12.312794993499999,424400000,5225550195.241401,559000000.0,767000000.0,5433550195.241401,MU
1997,MU,22.4579837945,432600000,9715323789.5007,620000000.0,773000000.0,9868323789.5007,MU
1996,MU,11.134963318099999,430000000,4788034226.783,276000000.0,405000000.0,4917034226.783,MU
1995,MU,37.917952022899996,427800000,16221299875.396622,128100000.0,155900000.0,16249099875.396622,MU
1994,MU,9.6973055438,418000000,4053473717.3084,78000000.0,155000000.0,4130473717.3084,MU
1993,MU,5.2216380558,400384615,2090663542.6408317,,,,MU
1992,MU,1.4877359363999998,330000000,490952859.01199996,,,,MU
1991,MU,1.3729807837999999,450000000,617841352.71,,,,MU
1990,MU,0.8745100534,368972000,322669723.4231048,,,,MU
1989,MU,1.3972727297999998,365862069,511209091.881906,,,,MU
1988,MU,1.7125,288235294,493602940.975,,,,MU
1987,MU,1.2,229000000,274800000.0,,,,MU
1986,MU,1.0125,188333333,190687499.6625,,,,MU
1985,MU,0.7375,191600000,141305000.0,,,,MU
2022,NXPI,158.03,261879000,41384738370.0,3845000000.0,11165000000.0,48704738370.0,NXPI
2021,NXPI,227.78,270687000,61657084860.0,2830000000.0,10572000000.0,69399084860.0,NXPI
2020,NXPI,159.01,279763000,44485114630.0,2275000000.0,7609000000.0,49819114630.0,NXPI
2019,NXPI,127.26,282056000,35894446560.0,1045000000.0,7365000000.0,42214446560.0,NXPI
2018,NXPI,73.28,325781000,23873231680.0,2789000000.0,7354000000.0,28438231680.0,NXPI
2017,NXPI,117.09,338646000,39652060140.0,3547000000.0,6565000000.0,42670060140.0,NXPI
2016,NXPI,98.01,338477000,33174130770.0,1894000000.0,9187000000.0,40467130770.0,NXPI
2015,NXPI,84.25,239764000,20200117000.0,1614000000.0,9212000000.0,27798117000.0,NXPI
2014,NXPI,76.4,237954000,18179685600.0,1185000000.0,3999000000.0,20993685600.0,NXPI
2013,NXPI,45.93,248526000,11414799180.0,670000000.0,3321000000.0,14065799180.0,NXPI
2012,NXPI,26.3201,248064000,6529069286.4,617000000.0,3492000000.0,9404069286.4,NXPI
2011,NXPI,15.37,248812000,3824240440.0,743000000.0,3799000000.0,6880240440.0,NXPI
2010,NXPI,20.93,229280000,4798830400.0,898000000.0,4551000000.0,8451830400.0,NXPI
2009,NXPI,14.0,215252000,3013528000.0,1041000000.0,5283000000.0,7255528000.0,NXPI
2008,NXPI,14.0,180210000,2522940000.0,1796000000.0,6367000000.0,7093940000.0,NXPI
2022,STM,35.57,906178490,32232768889.3,3258000000.0,2717000000.0,31691768889.3,STM
2021,STM,48.88,904332429,44203769129.52,3225000000.0,2742000000.0,43720769129.52,STM
2020,STM,37.12,894578477,33206753066.24,3006000000.0,2621000000.0,32821753066.24,STM
2019,STM,26.91,897391304,24148799990.64,2597000000.0,346000000.0,21897799990.64,STM
2018,STM,13.88,899363170,12483160799.6,2266000000.0,292000000.0,10509160799.6,STM
2017,STM,21.84,884707764,19322017565.76,1759000000.0,236000000.0,17799017565.76,STM
2016,STM,11.35,881246870,10002151974.5,1629000000.0,234000000.0,8607151974.5,STM
2015,STM,6.66,876510959,5837562986.940001,1771000000.0,382000000.0,4448562986.940001,STM
2014,STM,7.47,886532167,6622395287.49,0.0,404000000.0,7026395287.49,STM
2013,STM,8.0,892857143,7142857144.0,1836000000.0,450000000.0,5756857144.0,STM
2012,STM,7.24,883969466,6399938933.84,2250000000.0,1260000000.0,5409938933.84,STM
2011,STM,5.93,878378378,5208783781.54,1912000000.0,1473000000.0,4769783781.54,STM
2010,STM,10.44,882978723,9218297868.12,1892000000.0,1440000000.0,8766297868.119999,STM
2009,STM,9.27,876928190,8129124321.299998,1588000000.0,352000000.0,6893124321.299999,STM
2008,STM,6.65,893181818,5939659089.700001,1009000000.0,266000000.0,5196659089.700001,STM
2007,STM,14.3,900000000,12870000000.0,1855000000.0,206000000.0,11221000000.0,STM
2006,STM,18.4,898850575,16538850579.999996,1963000000.0,272000000.0,14847850579.999996,STM
2005,STM,18.0,886666667,15960000006.0,2027000000.0,3055000000.0,16988000006.0,STM
2004,STM,19.32,897014925,17330328351.0,1950000000.0,324000000.0,15704328351.0,STM
2003,STM,27.01,872413793,23563896548.93,2562000000.0,297000000.0,21298896548.93,STM
2002,STM,12.5777067404,893750000,11241325399.2325,2562000000.0,311000000.0,8990325399.2325,STM
2001,STM,20.3970510161,886437931,18080719701.21313,2438816000.0,225806000.0,15867709701.21313,STM
2000,STM,27.549996443,885428659,24393556405.980263,,,,STM
1999,STM,32.4739557852,859558115,27913252221.319855,,,,STM
1998,STM,8.360547264,844769178,7062732639.839428,,,,STM
1997,STM,6.5397772988,835384932,5463231414.053182,,,,STM
1996,STM,7.4972880923,834058667,6253178112.378711,,,,STM
1995,STM,4.3109406531,783882474,3379270824.4192038,,,,STM
2022,GFS,53.89,539000000,29046710000.0,2352000000.0,2511000000.0,29205710000.0,GFS
2021,GFS,64.97,508000000,33004760000.0,2939187000.0,2438617000.0,32504190000.0,GFS
2020,GFS,46.4,531845744,24677642521.6,908077000.0,2802467000.0,26572032521.6,GFS
2019,GFS,46.4,531845744,24677642521.6,997315000.0,3248336000.0,26928663521.6,GFS
2018,GFS,46.4,531845744,24677642521.6,,,,GFS
2021,UMC,323.6068017,2443669400,790788038946.158,132622131000.0,46822473000.0,704988380946.158,UMC
2020,UMC,236.49522000000002,2414593800,571039891941.636,94048036000.0,41405408000.0,518397263941.636,UMC
2019,UMC,80.49916,2357021600,189738258901.856,95492477000.0,65934121000.0,160179902901.85602,UMC
2018,UMC,55.08725,2420776000,133353892706.0,83661739000.0,80186809000.0,129878962706.0,UMC
2017,UMC,70.68664000000003,2441648000,172591893182.72006,81674572000.0,78764685000.0,169682006182.72006,UMC
2016,UMC,56.4725,2457891200,138803260792.0,57578981000.0,81279493000.0,162503772792.0,UMC
2015,UMC,62.12836,2501502200,155414229222.392,53290433000.0,53029456000.0,155153252222.392,UMC
2014,UMC,71.74335,2498994000,179286201189.90002,45701335000.0,39652044000.0,173236910189.90002,UMC
2013,UMC,60.908280000000005,2501502400,152362208599.87198,50830678000.0,33058778000.0,134590308599.872,UMC
2012,UMC,57.6702,2524963400,145615144270.68,42592725000.0,37927428000.0,140949847270.68,UMC
2011,UMC,64.735,2512249800,162630490803.0,49070128000.0,30507263000.0,144067625803.0,UMC
2010,UMC,91.76640316,2499297000,229351496118.5785,51271105000.0,10923505000.0,189003896118.57852,UMC
2009,UMC,123.96600388,2539814400,314850641764.8799,66152960000.0,13695819000.0,262393500764.8799,UMC
2008,UMC,64.38599608,2622197000,168832765762.98776,48613030379.3,8337657770.25,128557393153.93774,UMC
2007,UMC,107.89136699999999,3264051411,352162968691.06885,47680675401.78,30745507062.11,335227800351.3988,UMC
2006,UMC,156.8421148148,2630687484,412602588407.3853,93838717965.52,39787779863.59,358551650305.4553,UMC
2005,UMC,135.5348408383,2683146863,363659883022.48895,108908312805.0,47952413725.0,302703983942.4889,UMC
2004,UMC,143.1486981834,2731267386,390977370696.67786,101542627292.4,72840948395.04,362275691799.3178,UMC
2003,UMC,181.69529402610002,2684013243,487672575356.8312,118570127975.4,83155150715.34,452257598096.7711,UMC
2002,UMC,38.488568950518456,2690778184,103564201665.4348,81075968257.74,71451098331.59,93939331739.2848,UMC
2001,UMC,79.89743240003473,2692687152,215138789701.36206,76904067018.24,65168995398.320015,203403718081.442,UMC
2000,UMC,62.539142697457606,2594347710,162248281642.51236,62756683470.16,49125326999.3,148616925171.65234,UMC
1999,UMC,106.12703003311672,1831287507,194349104254.66046,27282783865.91,20887730353.67,187954050742.4204,UMC
